lead_id,domain,final_url,http_status,bytes,page_count,fetch_status,error_detail
1276,ventasequipment.com,,,0,0,timeout,http: 
1277,gongbad.dk,,,0,0,timeout,http: 
1278,www.carclassrent.com,,,0,0,timeout,http: 
1279,allfooted.com,,,0,0,timeout,http: 
1280,cheresteabuftea.ro,,,0,0,timeout,http: 
1283,laserworkz.net,,,0,0,timeout,http: 
1284,4fvictory.com,,,0,0,timeout,http: 
1285,watchingwhales.co.za,,,0,0,timeout,http: 
1286,inoverz.com,,,0,0,timeout,http: 
1288,dermaprivee.com,http://dermaprivee.com/,200,197990,1,ok,https: 
1289,graciousevents.co.nz,,,0,0,timeout,http: 
1290,ncmsllabs.com,,,0,0,timeout,http: 
1291,partygopacks.ca,,,0,0,timeout,http: 
1293,ringobeauty.co.jp,,,0,0,timeout,http: 
1294,bonfieldeventpark.ca,,,0,0,timeout,http: 
1295,makadija.com,,,0,0,timeout,http: 
1296,laneveritallena.com,,,0,0,timeout,http: 
1297,wodomat.pl,,,0,0,timeout,http: 
1299,starlightcustoms.co.uk,,,0,0,timeout,http: 
1300,peters-ict.com,,,0,0,timeout,http: 
1304,a25.fr,,,0,0,timeout,http: 
1305,udcfa.org,,,0,0,timeout,http: 
1307,loudncleardigital.com,http://loudncleardigital.com/,202,168,1,ok,https: 
1308,almohma.com,,,0,0,timeout,http: 
1309,ysto.pl,,,0,0,timeout,http: 
1314,academiedudigital.com,,,0,0,timeout,http: 
1315,concordmicro.co.mz,,,0,0,timeout,http: 
1317,supernova-iris.ro,,,0,0,timeout,http: 
1318,spiritnova.it,,,0,0,timeout,http: 
1319,hvp.com.pl,,,0,0,timeout,http: 
1324,etabulky.cz,,,0,0,timeout,http: 
1326,renaceseguro.com,,,0,0,timeout,http: 
1327,golfcartwld.net,,,0,0,timeout,http: 
1328,tequitamostudeuda.com,,,0,0,timeout,http: 
1330,maraciju.ro,,,0,0,timeout,http: 
1331,longislandcoffee.co.uk,,,0,0,timeout,http: 
1333,eduschaler.com,,,0,0,timeout,http: 
1335,digisankalp.com,,,0,0,timeout,http: 
1336,rishikaconsulting.com,,,0,0,timeout,http: 
1337,egoshoes.pl,,,0,0,timeout,http: 
1338,fleursdephenix.com,,,0,0,timeout,http: 
1339,boulou-locations.com,,,0,0,timeout,http: 
1343,truelogcabin.com,,,0,0,timeout,http: 
1344,bitsyncdigital.co,,,0,0,timeout,http: 
1346,quantummuhendislik.com,http://www.quantummuhendislik.com/,200,258798,1,ok,https: 
1347,kepykla24.lt,,,0,0,timeout,http: 
1351,fizjodzieciecy.pl,,,0,0,timeout,http: 
1352,nikkenmoller.com,,,0,0,timeout,http: 
1353,kahunachairny.com,,,0,0,timeout,http: 
1354,telefonsounds.ai,,,0,0,timeout,http: 
1355,ummaexperiencia.com,,,0,0,timeout,http: 
1356,monnidamour.fr,,,0,0,timeout,http: 
1358,leleklink.hu,http://leleklink.hu/,200,11941,1,ok,https: 
1359,cambridgexamschool.com,,,0,0,timeout,http: 
1360,pjamlaw.co.uk,,,0,0,timeout,http: 
1362,tmssmedicalcenter.com,http://tmssmedicalcenter.com/,200,11939,1,ok,https: 
1363,rushbd.com,,,0,0,timeout,http: 
1364,giftstudio.ro,http://giftstudio.ro/,200,11857,1,ok,https: 
1365,luxuryvacationrent.com,,,0,0,timeout,http: 
1366,kbslrecords.com,http://kbslrecords.com/,202,167,1,ok,https: 
1367,ilysh.com,http://ilysh.com/,503,114,1,ok,https: 
1369,motosikletkiralama.com,http://motosikletkiralama.com/,200,11993,1,ok,https: 
1371,ledini.com.pl,,,0,0,timeout,http: 
1372,updaty.be,,,0,0,timeout,http: 
1373,carewithusagency.com,http://carewithusagency.com/,200,7687,1,ok,https: 
1374,jbarrowfirewood.co.uk,,,0,0,timeout,http: 
1375,woww.ee,,,0,0,timeout,http: 
